id,urgency_dung,latency_ms,source,urgency_rule,urgency_final,tags_final,text
1,5,2344.6,gemini,5,5,y_te|tre_em,"Cứu với! Con tôi bị đuối nước, nước cuốn đi rồi, cứu nhanh lên"
2,5,1176.8,gemini,5,5,y_te|ngap_noc,"Chồng tôi bất tỉnh không thở được, nước ngập tới cổ rồi"
3,5,1213.5,gemini,5,5,y_te,"Có người bị nước cuốn chìm dưới cầu, cần cứu ngay lập tức"
4,5,1212.7,gemini,5,5,y_te|nguoi_gia|ngap_noc,"Mẹ tôi chảy máu nhiều lắm, ngất đi rồi, nhà đang ngập"
5,5,1221.6,gemini,5,5,y_te|nguoi_gia,"Ba tôi ngã đập đầu, máu ra nhiều, không tỉnh lại, cần cấp cứu gấp"
6,5,1385.1,gemini,5,5,,"Nhà bị sập, có người kẹt bên trong, nước dâng nhanh, sợ chết đuối"
7,5,1216.3,gemini,5,5,y_te|tre_em,"Em bé rơi xuống nước, vớt lên rồi nhưng không thở, cứu với"
8,5,1852.6,gemini,5,5,,"Có hai người bị chìm khi qua sông, mất tích chưa tìm thấy"
9,4,195.1,rule_based,2,2,,"Nhà tôi có ba đứa trẻ nhỏ, nước đã ngập tới nóc, cần cứu gấp"
10,4,851.8,gemini,4,5,y_te|nguoi_gia,"Bà tôi 85 tuổi bị gãy chân, không di chuyển được, nước đang lên"
11,4,1238.6,gemini,4,4,tre_em|nguoi_gia|ngap_noc,"Có người già và trẻ em trên gác mái, nước ngập tới mái nhà rồi"
12,4,794.7,gemini,5,5,y_te,"Vợ tôi bị thương ở chân, chảy máu, cần đưa đi cấp cứu"
13,4,180.0,rule_based,4,4,nguoi_gia|ngap_noc,"Trong nhà có cụ già nằm liệt giường, nước ngập nóc, không tự di tản được"
14,4,1193.2,gemini,4,4,y_te|tre_em|ngap_noc,"Hai em bé đang sốt cao, nhà ngập sâu, cần đưa ra ngoài"
15,4,883.5,gemini,5,5,y_te,"Cần cấp cứu, có người bị mảnh tôn cắt vào tay, máu chảy nhiều"
16,4,1144.0,gemini,2,4,tre_em|ngap_noc,"Nhà có con nhỏ mới sinh, nước lên tới mái, xin cứu trợ khẩn"
17,3,1922.9,gemini,3,3,ngap_noc,"Nhà tôi bị cô lập, nước ngập sâu quá đầu người, không ra ngoài được"
18,3,946.3,gemini,3,3,ngap_noc,"Cả xóm bị mắc kẹt, nước dâng cao, đường vào đã ngập hết"
19,3,1154.3,gemini,3,3,ngap_noc,"Gia đình bốn người kẹt trên tầng hai, nước vẫn đang dâng"
20,3,1214.2,gemini,3,3,ngap_noc,"Chúng tôi bị cô lập hai ngày rồi, hết đồ ăn, nước ngập sâu"
21,3,1217.5,gemini,3,3,ngap_noc,"Nước dâng nhanh quá, không thoát được ra khỏi nhà"
22,3,1333.7,gemini,3,3,ngap_noc,"Mắc kẹt ở trạm xá, nước ngập sâu, có mấy người cần di tản"
23,3,1633.8,gemini,3,3,,"Nhà nằm sát bờ sông, nước dâng cao, sợ sạt lở, chưa ra được"
24,3,1273.8,gemini,3,3,ngap_noc|phuong_tien,"Đường bị ngập sâu, xe không qua được, cả nhà đang kẹt lại"
25,2,1174.8,gemini,2,2,ngap_noc|phuong_tien,"Nhà tôi bị ngập, cần xuồng để di chuyển ra ngoài"
26,2,1056.9,gemini,2,2,ngap_noc,"Nước lên tới đầu gối rồi, cần người giúp chuyển đồ lên cao"
27,2,1476.1,gemini,2,2,ngap_noc|phuong_tien,"Cần hỗ trợ di dời, nhà đã bị ngập nửa mét"
28,2,1222.2,gemini,1,3,phuong_tien,"Xin cần ghe qua chở giúp mấy người sang bờ bên kia"
29,2,1313.6,gemini,2,2,ngap_noc,"Nước lên nhanh, cần giúp đưa gia súc và đồ đạc lên chỗ cao"
30,2,1129.7,gemini,2,2,ngap_noc|phuong_tien,"Nhà bị ngập, không có phương tiện nào để đi lại"
31,2,1230.6,gemini,2,3,phuong_tien,"Cần xuồng để đưa mấy người trong xóm ra khu vực an toàn"
32,2,1284.0,gemini,3,3,ngap_noc,"Nước đang lên dần, cần hỗ trợ trước khi ngập sâu hơn"
33,1,1154.1,gemini,1,1,,"Nhà tôi hết lương thực, xin hỗ trợ mì và nước uống"
34,1,1044.4,gemini,1,1,,"Xin hỗ trợ nước sạch, cả xóm dùng hết nước rồi"
35,1,1131.1,gemini,1,1,,"Gia đình cần thêm chăn màn, đêm lạnh quá"
36,1,1058.6,gemini,1,1,,"Nhà không còn gạo, xin cứu trợ lương thực khi nào tiện"
37,1,1137.5,gemini,4,4,y_te,"Xin hỗ trợ thuốc men thông thường, không có ai bị thương nặng"
38,1,887.3,gemini,1,1,,"Mất điện mấy ngày rồi, xin hỗ trợ đèn pin và pin dự phòng"
39,4,879.5,gemini,4,4,nguoi_gia|ngap_noc,"May quá không ai bị thương, nhưng nhà có người già, nước đã ngập tới mái"
40,2,1143.1,gemini,2,3,ngap_noc|phuong_tien,"Xe bị kẹt xe rồi chết máy giữa đường ngập, cần người giúp đẩy"
